X,Y,Z,Settlement_gravedad_mm
0.0,0.0,-5.0,0.04118111310920767
0.0,0.0,-14.0,0.01877745580250979
0.0,7.5,-5.0,0.03977188762794646
0.0,7.5,-14.0,0.01943635352614783
5.0,0.0,-5.0,0.040457767984271045
5.0,0.0,-14.0,0.018909309976108978
5.0,7.5,-5.0,0.03903467242390328
5.0,7.5,-14.0,0.0195316942647941
0.0,0.0,-20.0,-0.0
0.0,7.5,-20.0,-0.0
5.0,0.0,-20.0,-0.0
5.0,7.5,-20.0,-0.0
0.0,0.0,-1.2,0.04545227572247639
0.0,1.5,0.0,0.045832143782247044
0.0,1.5,-1.2,0.0454376077993266
1.0,0.0,0.0,0.04583475324917428
1.0,0.0,-1.2,0.045451099133404324
1.0,1.5,0.0,0.04590531818245572
1.0,1.5,-1.2,0.04543610723592467
0.0,0.0,-0.7999999999999999,0.04545267913347971
0.0,1.5,-0.7999999999999999,0.045438070795610914
1.0,0.0,-0.7999999999999999,0.0454516116528408
1.0,1.5,-0.7999999999999999,0.04543646681714351
0.0,7.5,0.0,0.0443475199230855
5.0,0.0,0.0,0.04512820885119142
5.0,7.5,0.0,0.04350918791022173
0.0,0.0,-12.2,0.02490827581737335
0.0,0.0,-10.4,0.03025107477655422
0.0,0.0,-8.6,0.03476100218499717
0.0,0.0,-6.8,0.038390136373799365
0.0,1.875,-5.0,0.04106193525607975
0.0,3.75,-5.0,0.04073580781922686
0.0,5.625,-5.0,0.040357437593180986
0.0,7.5,-12.2,0.02482917569671726
0.0,7.5,-10.4,0.029619481696810602
0.0,7.5,-8.6,0.033676884201985106
0.0,7.5,-6.8,0.037061215708785934
0.0,1.875,-14.0,0.018782195479221605
0.0,3.75,-14.0,0.018916453031474285
0.0,5.625,-14.0,0.019124041113502507
5.0,0.0,-12.2,0.02457452000438702
5.0,0.0,-10.4,0.029629802886988642
5.0,0.0,-8.6,0.03398907149522705
5.0,0.0,-6.8,0.037611685212839724
5.0,1.875,-5.0,0.04028518389996688
5.0,3.75,-5.0,0.040075272028555986
5.0,5.625,-5.0,0.03959979946583678
5.0,7.5,-12.2,0.024478913745027364
5.0,7.5,-10.4,0.028977644535097363
5.0,7.5,-8.6,0.03292275123494585
5.0,7.5,-6.8,0.0363813404556222
5.0,1.875,-14.0,0.018918025420311266
5.0,3.75,-14.0,0.019077624561414458
5.0,5.625,-14.0,0.019258256185061214
1.6666666666666667,0.0,-14.0,0.0187867987569277
3.3333333333333335,0.0,-14.0,0.018868328519369128
1.6666666666666667,0.0,-5.0,0.04096967058946203
3.3333333333333335,0.0,-5.0,0.040778520000139755
1.6666666666666667,7.5,-14.0,0.019401635176255705
3.3333333333333335,7.5,-14.0,0.019458718200724878
1.6666666666666667,7.5,-5.0,0.03960470287308853
3.3333333333333335,7.5,-5.0,0.03932458540148625
0.0,0.0,-18.0,0.005989215252007254
0.0,0.0,-16.0,0.012469875018038798
0.0,7.5,-18.0,0.007455194366295177
0.0,7.5,-16.0,0.013726152052672752
0.0,1.875,-20.0,-0.0
0.0,3.75,-20.0,-0.0
0.0,5.625,-20.0,-0.0
5.0,0.0,-18.0,0.0071020323012364545
5.0,0.0,-16.0,0.013070730248453576
5.0,7.5,-18.0,0.008563618119459986
5.0,7.5,-16.0,0.014264302114597524
5.0,1.875,-20.0,-0.0
5.0,3.75,-20.0,-0.0
5.0,5.625,-20.0,-0.0
1.6666666666666667,0.0,-20.0,-0.0
3.3333333333333335,0.0,-20.0,-0.0
1.6666666666666667,7.5,-20.0,-0.0
3.3333333333333335,7.5,-20.0,-0.0
0.0,1.5,-1.0096322348032698,0.045538372094316555
0.0,1.5,-0.8192644696065392,0.04564035421836117
0.0,1.5,-0.6288967044098089,0.04571201181738932
0.0,1.5,-0.43852893921307834,0.0457749666175556
