X,Y,Z,Settlement_gravedad_mm
0.0,0.0,-5.1,391.7976737664662
0.0,0.0,-17.5,175.81680693334727
0.0,5.0,-5.1,389.4692516366469
0.0,5.0,-17.5,180.8060416263438
4.5,0.0,-5.1,390.2133885873704
4.5,0.0,-17.5,180.40481195760879
4.5,5.0,-5.1,387.23755462973594
4.5,5.0,-17.5,185.4218176250368
0.0,0.0,-35.3,-0.0
0.0,5.0,-35.3,-0.0
4.5,0.0,-35.3,-0.0
4.5,5.0,-35.3,-0.0
0.0,0.0,-1.5,429.1049890430876
0.0,1.0,0.0,434.8702279664026
0.0,1.0,-1.5,429.1016057867441
0.9,0.0,0.0,434.5604151583985
0.9,0.0,-1.5,429.1031000403262
0.9,1.0,0.0,435.65599316897175
0.9,1.0,-1.5,429.0994688092101
0.0,0.0,-1.0,429.10543787355357
0.0,1.0,-1.0,429.10215052562114
0.9,0.0,-1.0,429.10371559034417
0.9,1.0,-1.0,429.0998958932825
0.0,5.0,0.0,430.85113977964386
4.5,0.0,0.0,431.19123473051644
4.5,5.0,0.0,425.53063689424044
0.0,0.0,-15.547888678946817,220.94505390498404
0.0,0.0,-13.60406847578977,265.5905345980538
0.0,0.0,-12.029908260105183,297.7738087568419
0.0,0.0,-10.901916374678997,318.6210071443659
0.0,0.0,-10.094330783095556,332.15565695331236
0.0,0.0,-9.10058496973984,347.18465461342186
0.0,0.0,-8.78032702291021,351.6462525961732
0.0,0.0,-8.469945489111483,355.81004136146373
0.0,0.0,-8.164373521959453,359.765778878234
0.0,0.0,-7.8635365473278025,363.48725051377596
0.0,0.0,-7.567361205441941,367.0123716652884
0.0,0.0,-7.275775340063676,370.3614000078701
0.0,0.0,-6.988707696918189,373.53078259659196
0.0,0.0,-6.706088395603098,376.54256921256047
0.0,0.0,-6.427848404627081,379.41382319574797
0.0,0.0,-6.153919875183714,382.1358758001353
0.0,0.0,-5.884236039690643,384.73228133138707
0.0,0.0,-5.6187311775171445,387.20233358319376
0.0,0.0,-5.357340358759981,389.5565436686433
0.0,0.2609322359505955,-5.1,391.77697426277507
0.0,0.521864471901191,-5.1,391.74759845641955
0.0,0.7827967078517865,-5.1,391.6826419316164
0.0,1.0437289438023818,-5.1,391.6158714245398
0.0,1.304661179752978,-5.1,391.50975672062617
0.0,1.5655934157035747,-5.1,391.3882143702519
0.0,1.875825955967192,-5.1,391.2151396305568
0.0,2.3120190466409456,-5.1,390.9358099356899
0.0,2.9253188191149087,-5.1,390.4797680757418
0.0,3.787611115364323,-5.1,389.5715396935406
0.0,5.0,-15.728571428571428,221.80934117453285
0.0,5.0,-13.957142857142857,259.13850556155705
0.0,5.0,-12.185714285714285,293.243431193118
0.0,5.0,-10.414285714285715,323.95378608428814
0.0,5.0,-8.642857142857142,350.290757613061
0.0,5.0,-6.87142857142857,371.6748083535048
0.0,1.6666666666666667,-17.5,176.545743612742
0.0,3.3333333333333335,-17.5,177.6025714585561
4.5,0.0,-15.728571428571428,221.46822932560383
4.5,0.0,-13.957142857142857,258.92043066727024
4.5,0.0,-12.185714285714285,293.81042170675505
4.5,0.0,-10.414285714285715,324.4150331782969
4.5,0.0,-8.642857142857142,350.769531454935
4.5,0.0,-6.87142857142857,372.3719238122662
4.5,1.6666666666666667,-5.1,389.25771515034666
4.5,3.3333333333333335,-5.1,388.1087527268343
4.5,5.0,-15.728571428571428,226.46535552730904
4.5,5.0,-13.957142857142857,260.3966918174152
4.5,5.0,-12.185714285714285,291.9529109654874
4.5,5.0,-10.414285714285715,321.4757260997023
4.5,5.0,-8.642857142857142,347.2942338167552
4.5,5.0,-6.87142857142857,369.2859811577879
4.5,1.6666666666666667,-17.5,181.25641505295744
4.5,3.3333333333333335,-17.5,182.24367311415193
1.5,0.0,-17.5,176.3758889645504
3.0,0.0,-17.5,177.3997066216617
0.24487086202234315,0.0,-5.1,391.772765691417
0.48974172404468647,0.0,-5.1,391.73776837299374
0.7346125860670295,0.0,-5.1,391.6816085439671
0.9794834480893724,0.0,-5.1,391.6095917459154
1.2243543101117154,0.0,-5.1,391.51135096685607
1.4692277473276065,0.0,-5.1,391.4029865681145
1.7585311406342816,0.0,-5.1,391.2368229414804
2.1568564511709045,0.0,-5.1,390.9899095927229
2.7052878160254723,0.0,-5.1,390.565249290768
3.4604271252744683,0.0,-5.1,390.14260690782055
1.5,5.0,-17.5,181.41920102781148
3.0,5.0,-17.5,182.37491255605264
1.5,5.0,-5.1,388.79829034087373
3.0,5.0,-5.1,387.591517821334
0.0,0.0,-33.32222222222222,23.389958508537603
0.0,0.0,-31.34444444444444,47.714262551307975
0.0,0.0,-29.366666666666664,71.41564733856455
0.0,0.0,-27.388888888888886,93.24112753248397
0.0,0.0,-25.411111111111108,113.37142952631146
0.0,0.0,-23.43333333333333,131.4338000565239
0.0,0.0,-21.455555555555552,147.55552277934623
0.0,0.0,-19.477777777777774,161.98997921922216
0.0,5.0,-33.32222222222222,26.03464421364533
0.0,5.0,-31.34444444444444,49.231438323701035
0.0,5.0,-29.366666666666664,71.68942361300815
0.0,5.0,-27.388888888888886,93.11775523019973
0.0,5.0,-25.411111111111108,113.07857190195398
0.0,5.0,-23.43333333333333,131.4705171134155
0.0,5.0,-21.455555555555552,148.67435646006388
0.0,5.0,-19.477777777777774,164.9475199051751
0.0,1.6666666666666667,-35.3,-0.0
0.0,3.3333333333333335,-35.3,-0.0
4.5,0.0,-33.32222222222222,25.761655464138546
4.5,0.0,-31.34444444444444,48.88659443408614
4.5,0.0,-29.366666666666664,71.46148959150224
4.5,0.0,-27.388888888888886,92.86883274764462
4.5,0.0,-25.411111111111108,112.89117865647405
4.5,0.0,-23.43333333333333,131.28512086648857
4.5,0.0,-21.455555555555552,148.27143194450176
4.5,0.0,-19.477777777777774,164.59642881781738
4.5,5.0,-33.32222222222222,28.43264200693706
4.5,5.0,-31.34444444444444,50.49482786925506
4.5,5.0,-29.366666666666664,72.08232885033132
4.5,5.0,-27.388888888888886,92.8611163759202
4.5,5.0,-25.411111111111108,112.70069098494442
4.5,5.0,-23.43333333333333,131.57685343004744
4.5,5.0,-21.455555555555552,149.67073085318398
4.5,5.0,-19.477777777777774,167.75223030876714
4.5,1.6666666666666667,-35.3,-0.0
4.5,3.3333333333333335,-35.3,-0.0
1.5,0.0,-35.3,-0.0
3.0,0.0,-35.3,-0.0
1.5,5.0,-35.3,-0.0
3.0,5.0,-35.3,-0.0
0.0,1.0,-1.337799496392911,430.197948547351
0.0,1.0,-1.175598992785822,431.200525967034
0.0,1.0,-1.0133984891787327,432.06673634775535
0.0,1.0,-0.8409500391839082,432.844423844751
0.0,1.0,-0.6678755419444341,433.52899448636583
0.0,1.0,-0.4972785629115246,434.0474493370604
0.0,1.0,-0.32912346479607857,434.4359254544365
0.0,1.0,-0.16337545544578536,434.70488679177976
0.0,0.16666666666666635,-1.5,429.1048571117533
0.0,0.33333333333333304,-1.5,429.1046333102458
0.0,0.4999999999999998,-1.5,429.10414493529606
0.0,0.6666666666666665,-1.5,429.10357790528775
0.0,0.8333333333333331,-1.5,429.1027542989991
0.9,0.0,-1.337799496392911,430.02943508227776
0.9,0.0,-1.175598992785822,430.9972393665448
0.9,0.0,-1.0133984891787327,431.8346608408642
0.9,0.0,-0.8409500391839082,432.61042554341617
0.9,0.0,-0.6678755419444341,433.24811739442663
0.9,0.0,-0.4972785629115246,433.75426149200314
0.9,0.0,-0.32912346479607857,434.1380391095425
0.9,0.0,-0.16337545544578536,434.39881636176153
0.9,0.16666666666666635,0.0,434.6094532442562
0.9,0.33333333333333304,0.0,434.7128356391225
0.9,0.4999999999999998,0.0,434.8773258589825
0.9,0.6666666666666665,0.0,435.07465767019335
0.9,0.8333333333333331,0.0,435.33075595220737
0.9,1.0,-1.337799496392911,430.4272849585558
0.9,1.0,-1.175598992785822,431.58405364024804
0.9,1.0,-1.0133984891787327,432.4743391841604
0.9,1.0,-0.8409500391839082,433.25813109248725
0.9,1.0,-0.6678755419444341,433.9466402617306
0.9,1.0,-0.4972785629115246,434.48388711409973
0.9,1.0,-0.32912346479607857,434.95510637049347
0.9,1.0,-0.16337545544578536,435.36553209629966
0.9,0.16666666666666635,-1.5,429.1030857703383
0.9,0.33333333333333304,-1.5,429.1028691096878
0.9,0.4999999999999998,-1.5,429.10232786512216
0.9,0.6666666666666665,-1.5,429.1015207070148
0.9,0.8333333333333331,-1.5,429.1004636196413
0.18000000000000027,0.0,-1.5,429.10490216587624
0.3600000000000003,0.0,-1.5,429.1046549452166
0.5400000000000001,0.0,-1.5,429.10430947453995
0.72,0.0,-1.5,429.1039239668812
0.18000000000000027,1.0,-1.5,429.1015554160456
0.3600000000000003,1.0,-1.5,429.10116887730396
0.5400000000000001,1.0,-1.5,429.10075561185
0.72,1.0,-1.5,429.1003077128922
0.18000000000000027,1.0,0.0,434.9173539226922
0.3600000000000003,1.0,0.0,435.0148289201755
0.5400000000000001,1.0,0.0,435.1777890173099
0.72,1.0,0.0,435.4136578088787
0.0,0.0,-1.3333333333333335,429.10523510910855
0.0,0.0,-1.1666666666666667,429.1053839503837
0.0,0.16666666666666635,-1.0,429.1053158480527
0.0,0.33333333333333304,-1.0,429.10506409644756
0.0,0.4999999999999998,-1.0,429.1045603192019
0.0,0.6666666666666665,-1.0,429.1039470169763
0.0,0.8333333333333331,-1.0,429.10305556068806
0.0,1.0,-1.3333333333333335,429.10190181727705
0.0,1.0,-1.1666666666666667,429.1020849268037
0.9,0.0,-1.3333333333333335,429.10341704930335
0.9,0.0,-1.1666666666666667,429.1036447232428
0.9,0.16666666666666635,-1.0,429.10360268888104
0.9,0.33333333333333304,-1.0,429.1033261082488
0.9,0.4999999999999998,-1.0,429.1028128561469
0.9,0.6666666666666665,-1.0,429.1020679479033
0.9,0.8333333333333331,-1.0,429.1010247467024
0.9,1.0,-1.3333333333333335,429.0994224238372
0.9,1.0,-1.1666666666666667,429.0997652828393
0.18000000000000027,0.0,-1.0,429.10536732597905
0.3600000000000003,0.0,-1.0,429.1050967289414
0.5400000000000001,0.0,-1.0,429.10474286763235
0.72,0.0,-1.0,429.1042963042292
0.18000000000000027,1.0,-1.0,429.1020626039997
0.3600000000000003,1.0,-1.0,429.10178664329567
0.5400000000000001,1.0,-1.0,429.10133662997475
0.72,1.0,-1.0,429.10064972509997
0.0,0.0,-4.847457958258321,395.51682812374787
0.0,0.0,-4.598816671630905,399.0604013533833
0.0,0.0,-4.354015821015587,402.41553330422016
0.0,0.0,-4.112996213352251,405.60556772471625
0.0,0.0,-3.875699379924445,408.6065159623997
0.0,0.0,-3.6420678448876167,411.4342129896372
0.0,0.0,-3.4120449318464874,414.0787254024672
0.0,0.0,-3.1855750501732043,416.55569072628816
0.0,0.0,-2.962603070950403,418.83866774857273
0.0,0.0,-2.743075303928766,420.95132621708433
0.0,0.0,-2.5269381797569426,422.87791204554253
0.0,0.0,-2.3141395922727583,424.6223716837519
0.0,0.0,-2.1046278844827113,426.15215985328956
0.0,0.0,-1.8983523293947808,427.4413171368534
0.0,0.0,-1.6952628642626557,428.4622026227103
0.0,1.174616693441267,0.0,435.1470489417475
0.0,1.3492333868825337,0.0,435.4111759053116
0.0,1.5243981375018851,0.0,435.5885263723111
0.0,1.7410182037644757,0.0,435.76108557118744
0.0,2.0427589633377448,0.0,435.84980325881656
0.0,2.4630685008149253,0.0,435.83744395770907
0.0,3.0485945352164827,0.0,435.35908348691737
0.0,3.86407738686159,0.0,433.8826637770685
0.0,5.0,-3.3999999999999995,411.03376184719866
0.0,5.0,-1.6999999999999997,425.265613663555
4.5,0.0,-3.3999999999999995,411.58979888790196
4.5,0.0,-1.6999999999999997,425.78940884583966
1.0684915551951935,0.0,0.0,434.85113283300717
1.236983110390387,0.0,0.0,435.1185966896021
1.4055032503007283,0.0,0.0,435.3225237573144
1.6061288475673468,0.0,0.0,435.51671306167333
1.882360043730247,0.0,0.0,435.68768383138877
2.2626887603906733,0.0,0.0,435.4975667579879
2.7863439518163045,0.0,0.0,434.9498717791141
3.507353224744012,0.0,0.0,433.89040396346775
1.5,5.0,0.0,430.30227178317335
3.0,5.0,0.0,428.731716872062
4.5,1.6666666666666667,0.0,430.986349796023
4.5,3.3333333333333335,0.0,429.8772834793946
4.5,5.0,-3.3999999999999995,407.2770850169633
4.5,5.0,-1.6999999999999997,419.8202661735115
0.0,0.22490707586679348,-7.128006262117744,372.00968482854046
0.0,0.2490743984640671,-8.033592521270023,361.3978128202221
0.0,1.7472658517958757,-5.436580315021471,388.3586134441813
0.0,0.36078958945190887,-8.997474037236227,348.5921494205143
0.0,0.2445248075248675,-6.2978266369765645,380.704296640535
0.0,2.502540162619952,-5.607351984457219,386.3639859348396
