X,Y,Z,Settlement_gravedad_mm,Settlement_carga_mm,Settlement_total_mm
0.0,0.0,-5.0,130.62261061960476,7.006148986222286,137.62875960582704
0.0,0.0,-14.0,17.458957275960078,0.32420977056745315,17.78316704652753
0.0,7.5,-5.0,129.79490142224225,3.2084828129022753,133.00338423514452
0.0,7.5,-14.0,22.669955269806604,0.48632575424818825,23.156281024054792
5.0,0.0,-5.0,129.2212522389857,5.490361342268898,134.7116135812546
5.0,0.0,-14.0,20.873719537939003,0.43472696133463273,21.308446499273636
5.0,7.5,-5.0,128.4966876021313,3.022535381175288,131.51922298330658
5.0,7.5,-14.0,26.05681369293693,0.5894412787773007,26.64625497171423
0.0,0.0,-20.0,-0.0,0.0,0.0
0.0,7.5,-20.0,-0.0,0.0,0.0
5.0,0.0,-20.0,-0.0,0.0,0.0
5.0,7.5,-20.0,-0.0,0.0,0.0
0.0,0.0,-0.5,178.25058567499198,41.69650290781286,219.94708858280484
0.0,1.5,0.0,178.67253644325606,64.26628491126965,242.93882135452571
0.0,1.5,-0.5,178.2176711477364,41.5744914071735,219.7921625549099
1.0,0.0,0.0,178.8636038445044,64.99788694216528,243.8614907866697
1.0,0.0,-0.5,178.24589789584905,41.68912164009714,219.9350195359462
1.0,1.5,0.0,179.48627514842894,42.631235468273275,222.11751061670222
1.0,1.5,-0.5,178.2101495138623,41.5222718069966,219.7324213208589
0.0,0.0,-0.09999999999999998,178.25100795728738,41.69926283511512,219.9502707924025
0.0,1.5,-0.09999999999999998,178.21834262987292,41.577527138630984,219.7958697685039
1.0,0.0,-0.09999999999999998,178.24657065030434,41.692295926760295,219.93886657706463
1.0,1.5,-0.09999999999999998,178.21177017721874,41.54040895889426,219.752179136113
0.0,7.5,0.0,174.00248696538665,3.139124915989754,177.1416118813764
5.0,0.0,0.0,172.9769297394943,6.230433955361207,179.2073636948555
5.0,7.5,0.0,168.73531494958195,2.002490466427247,170.7378054160092
0.0,0.0,-12.2,45.005117194175924,1.0827633746655536,46.08788056884148
0.0,0.0,-10.4,71.5673334682204,2.0349850368081235,73.60231850502852
0.0,0.0,-8.6,95.17483692195934,3.2035025086685636,98.3783394306279
0.0,0.0,-6.8,114.82085492717069,4.678841463394406,119.49969639056509
0.0,1.875,-5.0,130.31691801126462,6.146934276346997,136.46385228761162
0.0,3.75,-5.0,130.39109249106446,4.942059265814635,135.3331517568791
0.0,5.625,-5.0,130.04294420600976,3.6877647447367963,133.73070895074656
0.0,7.5,-12.2,51.26198665806474,1.2276634648734728,52.489650122938215
0.0,7.5,-10.4,75.48911630672707,1.8467228215639437,77.33583912829101
0.0,7.5,-8.6,96.54193045178656,2.4284728073359076,98.97040325912246
0.0,7.5,-6.8,114.73766315231266,2.8850742197162162,117.62273737202888
0.0,1.875,-14.0,17.86695486294494,0.33688413601554856,18.20383899896049
0.0,3.75,-14.0,18.47757723341921,0.3460459607590991,18.82362319417831
0.0,5.625,-14.0,19.803200132951332,0.3860107207051513,20.189210853656483
5.0,0.0,-12.2,48.947382066969425,1.2849452853399654,50.23232735230939
5.0,0.0,-10.4,72.81243708442267,2.210842201067919,75.02327928549059
5.0,0.0,-8.6,94.35089199184976,3.2377907774756807,97.58868276932544
5.0,0.0,-6.8,113.35851475021046,4.408805730949936,117.7673204811604
5.0,1.875,-5.0,128.8011152634531,4.873958936293008,133.67507419974612
5.0,3.75,-5.0,128.81243279801848,3.9823710420016596,132.79480384002014
5.0,5.625,-5.0,128.93993980412893,3.3291468143837335,132.26908661851266
5.0,7.5,-12.2,54.71410586335313,1.3737246561594034,56.087830519512536
5.0,7.5,-10.4,76.14687848122863,1.9329695411988297,78.07984802242746
5.0,7.5,-8.6,95.79866249605826,2.4617488565159533,98.26041135257421
5.0,7.5,-6.8,113.85240512985415,2.870605632071829,116.72301076192598
5.0,1.875,-14.0,21.375992225325373,0.44834331961979856,21.82433554494517
5.0,3.75,-14.0,21.83784050079707,0.4503954029456345,22.288235903742706
5.0,5.625,-14.0,23.08131198742896,0.48383343376181287,23.565145421190774
1.6666666666666667,0.0,-14.0,17.92530446899807,0.3449070272327255,18.270211496230797
3.3333333333333335,0.0,-14.0,18.722491895797077,0.37180334389221414,19.09429523968929
1.6666666666666667,0.0,-5.0,130.00730336735685,6.541278085792953,136.5485814531498
3.3333333333333335,0.0,-5.0,129.4760645020706,5.7549310460925085,135.23099554816312
1.6666666666666667,7.5,-14.0,23.314302594846207,0.5095243441998463,23.823826939046054
3.3333333333333335,7.5,-14.0,24.158198004688405,0.5369729043410132,24.695170909029418
1.6666666666666667,7.5,-5.0,129.39105910319162,3.1232436215823043,132.51430272477393
3.3333333333333335,7.5,-5.0,128.64913636971352,3.0507954062214537,131.69993177593497
0.0,0.0,-18.0,5.309818260690362,0.07986825808938836,5.38968651877975
0.0,0.0,-16.0,11.149348661174551,0.1850006291857369,11.334349290360288
0.0,7.5,-18.0,8.245121171006398,0.16346596740603658,8.408587138412434
0.0,7.5,-16.0,15.322368373212939,0.3127280605122298,15.635096433725169
0.0,1.875,-20.0,-0.0,0.0,0.0
0.0,3.75,-20.0,-0.0,0.0,0.0
