X,Y,Z,Settlement_gravedad_mm,Settlement_carga_mm,Settlement_total_mm
0.0,0.0,-5.0,130.66325634862142,7.028478461244077,137.6917348098655
0.0,0.0,-14.0,17.45160805955404,0.32358018700021063,17.77518824655425
0.0,7.5,-5.0,130.00696031224183,3.2022235219578477,133.20918383419968
0.0,7.5,-14.0,22.60703588548046,0.48378365074342256,23.090819536223883
5.0,0.0,-5.0,129.34454404665237,5.614829364403988,134.95937341105636
5.0,0.0,-14.0,20.89353490169902,0.43339881777864164,21.326933719477662
5.0,7.5,-5.0,128.2762860519974,2.9329830451081307,131.20926909710553
5.0,7.5,-14.0,26.123772150610236,0.5903257698007458,26.714097920410982
0.0,0.0,-20.0,-0.0,0.0,0.0
0.0,7.5,-20.0,-0.0,0.0,0.0
5.0,0.0,-20.0,-0.0,0.0,0.0
5.0,7.5,-20.0,-0.0,0.0,0.0
0.0,0.0,-0.5,178.0961594019858,44.23706443050355,222.33322383248935
0.0,1.5,0.0,178.64461656444337,40.902635341002195,219.54725190544556
0.0,1.5,-0.5,178.0634162094545,44.0147878262496,222.0782040357041
1.0,0.0,0.0,178.69665101987985,41.00529736704149,219.70194838692134
1.0,0.0,-0.5,178.09123712610014,44.19976837656688,222.29100550266702
1.0,1.5,0.0,179.2656674005131,35.19255361598667,214.45822101649978
1.0,1.5,-0.5,178.05536562134233,43.92939741302956,221.9847630343719
0.0,0.0,-0.09999999999999998,178.09646224688322,44.2383980800723,222.33486032695552
0.0,1.5,-0.09999999999999998,178.06400720321568,44.01863249391522,222.0826396971309
1.0,0.0,-0.09999999999999998,178.09179547384605,44.202839585024776,222.29463505887082
1.0,1.5,-0.09999999999999998,178.05707439402087,43.95212055039812,222.009194944419
0.0,7.5,0.0,174.46100620027596,2.9306527533800875,177.39165895365605
5.0,0.0,0.0,173.28441975296894,5.92490723384023,179.20932698680917
5.0,7.5,0.0,168.8301756428909,1.727567392753599,170.5577430356445
0.0,0.0,-12.291878590897081,43.53555671216638,1.0281434977265604,44.56370020989294
0.0,0.0,-11.063925100883381,61.99244572829644,1.6394771582361969,63.631922886532635
